title,definition,image
"Conservative Investor","A person who prioritizes stability and low risk, preferring safer investments like bonds and savings accounts. They tend to focus on wealth preservation rather than seeking significant returns.","https://via.placeholder.com/150"
"Cautious Investor","A person who is somewhat risk-averse, preferring to focus on steady but lower returns, avoiding high volatility. They invest with a long-term view and focus on balanced returns.","https://via.placeholder.com/150"
"Balanced Investor","A person who seeks a balance between risk and reward, typically investing in a mix of stocks and bonds. They are comfortable with moderate risks and are focused on steady, long-term growth.","https://via.placeholder.com/150"
"Opportunistic Investor","A person who focuses on high-reward, short-term investments, often taking advantage of market trends and volatility. They are willing to take on more risk in pursuit of higher returns.","https://via.placeholder.com/150"
"Aggressive Investor","A person willing to take on high risk to achieve high returns, often investing in speculative stocks and assets. They seek maximum growth, understanding that volatility is part of the strategy.","https://via.placeholder.com/150"
"Risk-Tolerant Investor","An individual who is comfortable with risk and actively seeks out higher-risk investment opportunities, prioritizing high returns over stability.","https://via.placeholder.com/150"
"Value Investor","A person who seeks undervalued stocks or assets, with the intention to buy and hold until the market recognizes their true worth. They often focus on long-term investments in established companies.","https://via.placeholder.com/150"
"Growth Investor","A person who focuses on companies with high growth potential, typically in emerging industries. They are willing to invest in companies with higher volatility if they believe in future growth.","https://via.placeholder.com/150"
"Income-Focused Investor","An investor who seeks steady income from investments, such as dividends or interest. They are often focused on long-term income generation rather than capital appreciation.","https://via.placeholder.com/150"
"Speculative Investor","An individual who looks for high-risk, high-reward opportunities, including stocks with strong growth potential but unstable market histories or speculative ventures like cryptocurrency.","https://via.placeholder.com/150"
"Ethical Investor","An investor who prioritizes companies that adhere to strong ethical, environmental, and social standards, aligning their portfolio with personal values around sustainability and corporate responsibility.","https://via.placeholder.com/150"
